business,stars,date,time_ago,signal,category,phrase,summary,biz_size,root_cause,pitch,text
Dallas Air Duct Cleaning,1,Edited 6 months ago,,True,no_callback,They refuse to call me back & STILL haven’t called me back.,The company failed to follow through on a promised callback.,small_team,overwhelmed,callback_automation,UPDATE: I’ve tried calling over 5 or 6 times asking to speak to the manager to call me back & they refuse to call me back. They keep saying the manager is not in the office when I call and I leave my phone number for the manager to call me back and they STILL haven’t called me back. DO NOT USE THIS 
Dallas Air Duct Cleaning,1,a month ago,,False,none,none,no communication issue,established,unknown,not_applicable,"I rarely leave negative reviews, but this experience warrants one.

The company canceled my original appointment just three hours before arrival. While inconvenient, I chose to give them the benefit of the doubt and rescheduled.

During the service visit, they identified mold and recommended additio"
Dallas Air Duct Cleaning,1,2 months ago,,False,none,none,no communication issue,unknown,unknown,not_applicable,They charged me $500 for a dryer vent clean that took 30 minutes. I manage a lot of homes in Dallas and I know that is not a fair price. Just be aware they say their dryer vent clean is $79 online but then make up reasons to charge $500 when they are in the home.
Dallas Air Duct Cleaning,1,a month ago,,False,none,none,no communication issue,unknown,unknown,not_applicable,"Do not trust the 3.5K highly rated reviews. The customer service is non-existent. We had two companies come out and provide a quote for full home duct cleaning. Decided to go with this one, mainly due to reviews and price. After the service was done we still noticed dust flowing from the vents. We w"
Dallas Air Duct Cleaning,1,10 months ago,,False,none,none,no communication issue,established,unknown,not_applicable,"Fresh Air Home Services might be competent with air duct cleaning, but their fireplace services are a disaster. I had them replace my fireplace panels, and not only was the job poorly done, but when problems showed up, they flat-out refused to honor their warranty. Instead of taking responsibility, "
Dallas Air Duct Cleaning,1,4 months ago,,True,repeat_calls,"""I called multiple times to have their generated message""",The customer had to call multiple times to get a response.,small_team,overwhelmed,review_management,I tried to book an appointment months ago to get my dryer vent cleaned and it had to get cancelled due to them needing to reschedule. I called again this week to set up an appointment for them to wait until the last hour to reschedule me again for a few days later. I was guaranteed you will definite
Dallas Air Duct Cleaning,1,6 months ago,,True,other_comm_problem,"""had to cancel and reschedule for 2 days later between 2-4pm""",The company failed to keep their scheduled appointment and communicate the delay effectively.,small_team,overwhelmed,review_management,Made an appt to have my dryer vent cleaned and day of appt they had to delay the call. I had to cancel and reschedule for 2 days later between 2-4pm. At 3:30pm I called to check the status and was told he was running 2 more hours late and was assured he would be here. It is now 7:30pm and tech never
Dallas Air Duct Cleaning,1,6 months ago,,False,none,none,no communication issue,unknown,unknown,not_applicable,Called for $99 duct service that I knew would likely be marked up when the technician arrived and explained the services. After a deep cleaning fee of $300 and a separate line item of $150 for duct disassembly there's a final line of a service fee that is tacked on at the very end. Final bill was ju
Dallas Air Duct Cleaning,1,4 months ago,,True,other_comm_problem,"""the technician still did not show up—even until 15 minutes before 10 AM""",The business failed to honor the scheduled appointment time.,small_team,overwhelmed,not_applicable,"I originally scheduled my dryer vent cleaning appointment for 10–12 PM today. Yesterday, they called and said the technician had a personal issue and asked me to move the appointment to 8–10 AM instead. When I said I could reschedule for another day, they insisted I switch to the morning and offered"
Dallas Air Duct Cleaning,1,6 months ago,,True,other_comm_problem,they broke two scheduled appointments in the last minute,"The business failed to honor scheduled appointments, causing inconvenience to the customer.",small_team,overwhelmed,review_management,"I went with google reviews and made an appointment for first time inspection and service , they broke two scheduled appointments in the last minute. One time they said the technician got COVID, the second time one person told me the technician had family emergency while the other employee told me he"
Dallas Air Duct Cleaning,1,7 months ago,,True,no_callback,Office did not call me back all day,The office failed to follow up with the customer after the technician's visit.,established,overwhelmed,review_management,"I called for estimate, Technichian went to my rental  home and gave me four different prices. I chose the basic service, Office did not call me back all day and I felt office did not want to do basic service, Finally got hold of the office and
They  pushed   me do the most expensive service.  I was "
Dallas Air Duct Cleaning,1,Edited a year ago,,True,other_comm_problem,When I called them they said they weren’t responsible for that because it had been over a year.,The company denied responsibility after being contacted about a neglected issue.,established,bad_culture,review_management,"Orlando & Maribel came out and installed some chimney caps. Seemingly, everything was fine, other than the pressure to leave a review (the guys even grabbed my phone to take me to the review) until a year after when the first storm came. The caps flew off the chimneys because they were never screwed"
Dallas Air Duct Cleaning,1,8 months ago,,True,other_comm_problem,they said they would not refund the deposit,The company refused to refund a deposit after a customer cancelled service.,small_team,unknown,review_management,I hate to leave bad reviews but people should be warned. I contacted this company for a quote. The technician came out and was nice enough but he said we needed a deep cleaning and offered a discount to sign up on the spot which I did. I had some time before my appointment was scheduled and my husba
Dallas Air Duct Cleaning,1,6 months ago,,False,none,none,no communication issue,unknown,unknown,not_applicable,2 guys came in for a duct cleaning for a house under 3000sq ft. They looked on everything and after they did a small chat in between them they decided to tell me that it would cost $3200. After I said no they lower it to $1900. Just very overpriced. I got it done including chimney for $820 from The 
Dallas Air Duct Cleaning,1,7 months ago,,True,other_comm_problem,"""I scheduled a dryer vent cleaning and described where my dryer is located""",The customer experienced a bait and switch due to unclear communication about the service cost.,small_team,unknown,review_management,"I scheduled a dryer vent cleaning and described where my dryer is located, the distance and location of the venting and what I was experienceing 2 times and was told both times that the cost would be $79 then when they showed up they took one picture, did some calculations on their phone and said it"
Dallas Air Duct Cleaning,1,7 months ago,,True,other_comm_problem,"""they texted me that they could drop that price to $411""",The company tried to negotiate a price after initially being told no.,small_team,bad_culture,review_management,"The tech was on time and professional. But after looking at our dryer ducting, he tried to upsell me from a $79 advertised fee, to $811 because my vent to the exit was 20 feet. After I told them I didn't want the service they texted me that they could drop that price to $411. I eventually got the jo"
Dallas Air Duct Cleaning,1,7 months ago,,True,repeat_calls,"""I called them at 3:45 to see when he is going to come.""",The customer had to call multiple times to get an update on their appointment.,small_team,overwhelmed,callback_automation,We scheduled an appointment and were told their technician would be there between 2-4.  We did not  receive any updates other than the technician would be there between 2-4.  I called them at 3:45 to see when he is going to come.  They said he wasn’t going to make it there today.  We received 0 upda
