SEARCH_TYPE,LEAD_SCORE,name,phone,website,address,rating,review_count,one_star_count,one_star_pct,is_claimed,missed_call_reviews,unanswered_complaints,owner_ignoring,sample_complaint,matched_keywords,place_id,contact_url
EMERGENCY,16,Eastin Heating and Air,+1972-278-0613,http://www.eastinair.com/?utm_campaign=gmb,"3838 Oak Lawn Ave Suite#1000, Dallas, TX 75219",4.8,486,0,0.0,True,3,7,True,Dun Rite took over the company I had originally had (who was local in Bertram) and my expectations were still going to be high.  They did not fail and it helps that the technician who made the call to our house is the son of the owners of the former company!  The company has shown it's great custome,voicemail,ChIJLSW-wpOZToYRlowXQkH4xWs,
EMERGENCY,9,"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",+1469-476-4846,https://astardfw.com/air-force-one-plumbing-heating-and-air/,,4.6,231,0,0.0,True,1,6,True,"Very professional, friendly, clean and trustworthy. Over the years when we’ve had breakdowns with heat or air, their after hours service has been a blessing. We especially like the service agreement to get our unit checked bi-annually for season changes and the additional discount for issues that ma",after hours,ChIJzwgkvfShToYRIVR8Lr_bp64,
EMERGENCY,6,Unlimited Air Conditioning and Heating,+1945-998-7066,https://unlimitedairandheating.com/,"822 Woodlawn Ave, Dallas, TX 75208",4.8,240,0,0.0,True,0,6,True,,,ChIJ88N3WYGZToYRrHFcYegd620,https://book.housecallpro.com/book/Unlimited-Air-Conditioning--Heating/6e5182c990d84e4cade06ab8c0872153?v2=true&lead_source=google&merchant_id=4f5b234b-dc7a-43bf-978a-bbd2a9acf18c&rwg_token=AFd1xnHlD_JzJhRPuMUO_t50QxMRGzWh-t-h8M9gY_mBc_Oq9JKCqjzrJRYrzxIxbD-k0iGzGFCJwveFFRlj09plxgHJPKthgA%3D%3D
EMERGENCY,3,Suburban Heating & Air Conditioning,+1214-381-1127,https://www.suburbanheatandair.com/,"3918 Peachtree St, Dallas, TX 75227",4.4,23,0,0.0,True,0,3,True,,,ChIJeWFGoEGiToYRm-Gr0rm6lT4,
EMERGENCY,0,Dallas Air Duct Cleaning,+1469-669-3575,,"101 S Akard St, Dallas, TX 75202",4.3,83,0,0.0,True,0,0,False,,,ChIJAbvoXROoyIkR2HAJDICoIfs,
EMERGENCY,0,Dalco,+1214-381-1445,http://www.dalcoac.com/,"7310 Military Pkwy, Dallas, TX 75227",4.4,40,0,0.0,True,0,0,False,,,ChIJ4wSM6KWjToYRPmL87V_6l6w,
EMERGENCY,0,TEXpert Appliance Repair,+1469-504-2225,https://www.texpertappliance.com/,,4.4,58,0,0.0,True,0,0,False,,,ChIJMdXYstkrTIYRfJCkb0YzIso,https://www.texpertappliance.com/
EMERGENCY,0,The Chill Brothers,+1844-512-4455,https://thechillbrothers.com/ac-repair-service-dallas/,"8131 Lyndon B Johnson Fwy suite 790, Dallas, TX 75251",4.6,451,0,0.0,True,0,0,False,,,ChIJ601XadIhTIYRvO4eGG9HB84,https://thechillbrothers.com/contact/
EMERGENCY,0,"Lex - Air Conditioning, Heating, Plumbing, Electrical",+1972-424-2473,https://www.lexairconditioning.com/,,4.8,736,0,0.0,True,0,0,False,,,ChIJJWV7b0cYTIYR0D6whC1lCHo,https://www.lexairconditioning.com/shop/#/journey/h_v_a_c_systems
EMERGENCY,0,"Jade Air, LLC",+1214-923-7904,http://jadeair.net/,"2243 Vagas St, Dallas, TX 75219",4.8,150,0,0.0,True,0,0,False,,,ChIJY41GYLKeToYRniOn5oxwXE8,
