business,stars,date,time_ago,signal,category,phrase,summary,biz_size,root_cause,pitch,text
Suburban Heating & Air Conditioning,5,5 months ago,,False,none,none,no communication issue,established,unknown,not_applicable,"Great company, with amazing pricing and fast service! They replaced my ac blower motor and had me back to normal within 45 minutes! Will be recommending Suburban to all my family and friends"
Suburban Heating & Air Conditioning,1,7 months ago,,False,none,none,No communication issue.,unknown,unknown,not_applicable,"Do not use this company. First they do a shotty install, then they kick the ball down the road until they are out of their warranty window. 4 trips to service my unit in one year. Never attempted to do anything but put more coolant in the system. They charge for THEIR drive time. Every single invoic"
Suburban Heating & Air Conditioning,5,8 months ago,,False,none,none,no communication issue,established,unknown,not_applicable,"I’ve had Suburban handle two mini split services, and found their team to be knowledgeable, helpful, and proactive in resolving issues or following up on my behalf. I trust them with my repairs and fully intend to continue using their services in the future. Both the service technicians and the offi"
Suburban Heating & Air Conditioning,5,a year ago,,False,none,none,no communication issue,established,unknown,not_applicable,"I have used Suburban for over 25 years.  They are a good and honest company, NEVER tried to sell me something I don't need. They are very dependable and keep my air conditioning running and keep me cool in this Texas heat. I love them !"
Suburban Heating & Air Conditioning,4,2 years ago,,False,none,none,no communication issue,unknown,unknown,not_applicable,theft
Suburban Heating & Air Conditioning,5,2 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,Been using company for over 20yrs and never had any problems. Friendly customer service
Suburban Heating & Air Conditioning,5,2 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,"These people are unbelievable!
Twice this summer I have had an air conditioner fail and Suburban has fixed both promptly and professionally.
No need to call anyone else."
Suburban Heating & Air Conditioning,4,4 years ago,,False,none,none,no communication issue,unknown,unknown,not_applicable,Great ac company!
Suburban Heating & Air Conditioning,5,5 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,"Our other AC company was bought by someone and they were unreliable.  Suburban stepped up and saved us twice!  The other company failed to show when we needed a new thermostat for my MIL’s and Suburban came and saved the day.  Then, today, our own AC unit stopped working and Suburban found a way to "
Suburban Heating & Air Conditioning,5,5 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,Our family have been using Suburban since the 70s. The same owner and never had an issue on home or our commercial property's.  Great company and honest repair work with great employees everytime. They have work on my old ac equipment at my house for years and kept it running tip top shape.
Suburban Heating & Air Conditioning,5,6 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,Trustworthy with complex residential projects. Researched and gathered bids from top HVAC experts in Dallas as we needed to replace and re-engineer very old systems in our house. We are perfectionists and the professionals from Suburban Heating & Air really exceeded our expectations. We like to upgr
Suburban Heating & Air Conditioning,5,6 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,"Darrin was our technician for a recent service call and was fantastic. He was highly professional and courteous, helpful, and the charges were very reasonable. Surburban was recommended by our next door neighbor because they have a 20 year history with them and are happy. Count us as another highly "
Suburban Heating & Air Conditioning,5,7 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,"Charles & Suburban Are The Best.  Before Charles, Don ran the company.  He was great too.  For I would say 50-60 years, Suburban has installed and serviced about 25 properties for me and my family.  Multiple new installs.  Multiple checks and repairs.   I trust them so much, I have left my key under"
Suburban Heating & Air Conditioning,1,7 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,"These guys are crooks! I don't even know where to begin. First, I have 3 AC units in my building and one of them was messed up. I told the tech what was wrong and he told me it was an easy fix with a $56 part. I then get an invoice for $447! When I spoke to the owner he said I had to pay for a guy t"
Suburban Heating & Air Conditioning,5,7 years ago,,False,none,none,no communication issue,unknown,unknown,not_applicable,Charles and crew are the best. They are fast efficient and honest. Couldn't ask for more.
Suburban Heating & Air Conditioning,5,14 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,Great guys! fast and professional! They have been out a couple times for repairs and I have always felt good about them and their services. They do a good job.
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",1,a year ago,,True,other_comm_problem,"""Later was that night and this guy says, “I’m not trying to cheat you”""",The customer was given conflicting advice by two different technicians over the phone.,small_team,overwhelmed,review_management,"Horrible horrible service! Avoid at all costs. My ac went out I called them paid the road fee. When the tech came out he said and I quite “I’m not trying to cheat you”, which he was absolutely never accused of in the first place. He continued to say that I needed to change out parts that would run m"
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",1,a year ago,,False,none,none,no communication issue,unknown,unknown,not_applicable,They bought an amazing parts store where a homeowner could go in and buy any part imaginable and not they're a service company that won't sell parts. Heartbreaking. All the old reviews are worthless.
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",1,3 years ago,,True,other_comm_problem,"""the receptionist was very rude""","The receptionist was rude, leading to distrust in the company.",established,bad_culture,review_management,Scam! My parents contacted this company to fix their air conditioner that went out during the winter storms in Texas. The receptionist was very rude. When my father reported her they sent a technician out anyway from this same company because there wasn’t any other company available through their ho
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",2,3 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,"This is a mixed review. On the one hand, ownership of Air Force One was responsive when one of their techs mishandled the AC system in my attic causing a ceiling to flood. I hired Air Force One to perform a deep cleaning and coolant check of my HVAC system in Fall 2021. The tech pointed out there wa"
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",1,3 years ago,,True,other_comm_problem,after rescheduling an appt two times,The company failed to follow through on a scheduled appointment.,established,overwhelmed,review_management,Charged us $500 for a $100 base model thermostat. Still not working correctly and after years of serving our business have now told us we need to find a commercial repair company after rescheduling an appt two times. Sadly cannot recommend them.
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,Edited 3 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,Once again this is a great company and Joaquin was very personable and professional. He answered all my questions.  I once again would recommend!
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,Edited 3 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,Have done business with Air Force One for many years. They're very friendly and professional...always aiming to please. Look forward to many more years.
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,3 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,Handled all within a few hours of initial call. Top notch service.
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,Edited 3 years ago,,False,none,none,no communication issue,unknown,unknown,not_applicable,"Service on time , professional smart reliable put your best interest forward fair and reasonable"
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,Edited 3 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,"Friendly, knowledgeable, punctual, dependable - everytime I've called they've gotten me squared away quickly!"
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,Edited 3 years ago,,False,none,none,no communication issue,unknown,unknown,not_applicable,"Great people, great service."
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,Edited 3 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,"We have been loyal customers for a dozen or more years, ergo, satisfaction characterizes our relationship."
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,Edited 3 years ago,,False,none,none,no communication issue,unknown,unknown,not_applicable,Jacob did the job very fast and explained what the problem was and what he did to fix it.
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,4 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,"Very detailed inspection and very courteous was provided as has always been the case for Air Force 1.  I have been using Air Force 1 for 20+years, and they are always dependable."
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,4 years ago,,False,none,none,no communication issue,unknown,unknown,not_applicable,"Fantastic customer care, fantastic workmanship and very reasonable pricing!  Javier was fantastic to deal with.  Highly recommend Air Force One Plumbing and Heating!"
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",4,Edited 4 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,We requested a quote for replacing our toilets with comfort height and to replace the cut off valves for the toilet and all sinks.  We received our quote the same day after the Javier came to review what was involved.  He was on time and very knowledgeable and friendly.  We will be accepting the bid
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",4,Edited 4 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,Diagnosed the problem but were unable to fix due to proprietary issues with Carrier. Sam was professional and straight forward. We will continue to call them in the future.
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",4,4 years ago,,False,none,none,no communication issue,unknown,unknown,not_applicable,Same day service and a fair price. Only problem was some scheduling issues. I couldn't set up an appointment online but their phone service was great.
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,Edited 4 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,Efficient and knowledgeable .  Company provides good customer service.  Highly recommend.
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,4 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,"We put in a call at 9AM when our AC quit putting out cold air.  Jacob arrived an hour or so early, but called before he arrived to see if it was OK.  It certainly was.  He diagnosed the problem extremely quickly, went out to his truck, got the part, and fixed the system in minutes.  Spectacular job."
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,4 years ago,,False,none,none,no communication issue,unknown,unknown,not_applicable,Mr. Samuel H is awesome! He was on time and professional! He was able to answer all of my questions! Excellent customer service!
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,Edited 4 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,Have used Air Force One since 2014. Company is honest and professional and feel like I get a competitive price. Would recommend to others.
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,Edited 4 years ago,,False,none,none,no communication issue,unknown,unknown,not_applicable,Sam was very efficient and explained my problem.  Thanks Sam. This company will be my new ac company.
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",1,4 years ago,,True,no_callback,We never got,The customer never received an estimate after being told it would be provided.,established,unknown,review_management,"Dont use this company in a commercial setting, (unless you have some money to burn.)  We had used this company for years in a commercial building.  They recently changed hands to a new owner.  They didnt come out to do our regularly scheduled quarterly maintenance.   Then we moved to a new commercia"
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,4 years ago,,False,none,none,no communication issue,unknown,unknown,not_applicable,"Efficient, polite, informative."
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,Edited 4 years ago,,False,none,none,no communication issue,unknown,unknown,not_applicable,"HVAC maintenance on two rooftop units:
Excellent job by Sam"
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,Edited 4 years ago,,False,none,none,no communication issue,unknown,unknown,not_applicable,"Technician was prompt, professional, and able to simply explain the work he did and also the additional work he suggested."
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,Edited 4 years ago,,False,none,none,no communication issue,unknown,unknown,not_applicable,"On time, prepared to go to work, considerate of environment."
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,4 years ago,,False,none,none,no communication issue,unknown,unknown,not_applicable,Samuel was professional and provided us with excellent customer service. We will definitely use Air Force One plumbing!
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,4 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,"Javier was amazing! We had a new hot water heater replaced and hydro jetting of our outside drains. The water heater installation was standard, but our outside drains have been a problem for years. He really took the time to try and clear them out as much as possible, even though we think there was "
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,4 years ago,,False,none,none,no communication issue,unknown,unknown,not_applicable,Sam did a wonderful job of explaining the issue with my A/C.  I appreciated the time that he took to diagnose and explain the problem.
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",4,4 years ago,,True,other_comm_problem,have not seen them yet,The customer did not receive the maintenance reports on time.,unknown,unknown,review_management,"Sam did a good job & cleaned up after himeself. I usually see the reports on the maintenance the same day, but have not seen them yet.  He did not bring all of the required filters, but said he would drop them off later this week."
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,5 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,Air Force one has been fantastic from the install of my new hvac system to the routine maintenance.
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,Edited 5 years ago,,False,none,none,no communication issue,unknown,unknown,not_applicable,Maintenance was smooth Samuel was very efficient and courteous.
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,5 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,"Juan is an exceptionally knowledgeable, through, and outgoing tech. He arrived on time and was wearing a mask and stood several feet away from me. I liked that a lot. He took his time checking everything out, looking at an issue with the heat I thought was broken (door on heater ajar-easy fix) and d"
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,Edited 5 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,"Air Force One just installed a new Lennox HVAC which includes 1 year of their HVAC maintenance plan. We still recommend Air Force One!  Colin is our usual technician for HVAC maintenance. All techs are professional, knowledgeable and friendly. All wore a mask. Office staff helpful and friendly.  Ann"
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,5 years ago,,False,none,none,no communication issue,unknown,unknown,not_applicable,Great technician. Prompt and professional.
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,5 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,"Javier and Jeremy came out to diagnose my tankless water heater after the freeze. They were professional, on time, and so polite. Javier did a fantastic job of explaining the possibilities and setting expectations for what comes next. They have only done the initial diagnosis and haven’t repaired ye"
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,Edited 5 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,"Josue and the entire Air Force One team did a great job. They are very honest, trustworthy, reliable, and very helpful with their work. I would truly recommend the technician and Air Force One company. Their prices are great and an honorable company."
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,Edited 5 years ago,,False,none,none,no communication issue,unknown,unknown,not_applicable,He could not fix but was very professional and did the best he could.
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,5 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,Air Force 1 was able to look at my system within an hour of calling for an appointment. Sam was very professional and helpful!
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,Edited 5 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,"Great company , technician was on time and very professional.  Explained everything in detail and answered all my questions"
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,Edited 5 years ago,,False,none,none,no communication issue,unknown,unknown,not_applicable,"Josue was  on time, professional and competent.  Great job."
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,5 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,"We've used Air Force One for several items over the last few years and they've always done great work, everything from basic HVAC maintenance to a full furnace and ductwork replacement effort. They show up on time, give honest feedback about what is and isn't needed, and have always done a great job"
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,5 years ago,,False,none,none,no communication issue,unknown,unknown,not_applicable,"Guys showed up on time, did the work quickly, courteously, and carefully.  Price was reasonable.  Very satisfied."
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,Edited 5 years ago,,False,none,none,no communication issue,unknown,unknown,not_applicable,"Very professional , strait talking man knew what he was doing . showed up early made great contact prior to arrival:  Dressed with face coving to prevent covid. Would use again."
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,Edited 5 years ago,,False,none,none,no communication issue,unknown,unknown,not_applicable,Excellent service. Explained everything to us in an understandable way.
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,Edited 5 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,"AF1 helped me with a clogged bathtub drain, installing new shower fixtures, installing new faucets for 3 sinks, and replacing toilet handles on my toilets. Estimates for each service were provided ahead of time, and before arrival, I would get a text with a photo of the technician and shared some pe"
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",4,5 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,"Got in touch with management who resolved my complaints to my satisfaction. Thanks, AF1!"
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,Edited 5 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,"Have only used them once, but was very pleased. Kevin came quickly and was very courteous and thorough. Great speedy service at a really great price = very happy customer.

Update: have been using Air Force One for years now and continue to be a very happy customer."
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,Edited 5 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,"The technician that serviced my units this time was very professional, quiet,courteous,neatly dressed,and friendly. He did install the two filters in a correct direction which the last technician installed one of the permanent filters up-side-down at which I was very disappointed looking forward for"
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,Edited 5 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,"Very professional, friendly, clean and trustworthy. Over the years when we’ve had breakdowns with heat or air, their after hours service has been a blessing. We especially like the service agreement to get our unit checked bi-annually for season changes and the additional discount for issues that ma"
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,5 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,"Today Collin Faith did the seasonal maintenance. He was, like all Air Force 1 technicians, polite and prompt."
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,5 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,"Hands down the best, most HONEST and courteous AC/Heating company you will find in the DFW area!!! They will go beyond the call of duty to get your AC running-  without scammy up selling that the big money tv advertised companies will do every time...  make Air Force One your first call."
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,Edited 5 years ago,,False,none,none,no communication issue,established,unknown,not_applicable,"We have been President Club members of Air Force 1 for years now, and I recommend them highly. Twice annual check-ups keep us running smoothly with no surprises. The techs are always prompt, professional and highly knowledgeable.  Love this service."
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,Edited 5 years ago,,False,none,none,no communication issue,unknown,unknown,not_applicable,"Always prompt, efficient and friendly"
