SEARCH_TYPE,LEAD_SCORE,name,phone,website,address,rating,review_count,one_star_count,one_star_pct,is_claimed,missed_call_reviews,unanswered_complaints,owner_ignoring,sample_complaint,matched_keywords,place_id,contact_url
STANDARD,49,K&S Heating and Air,+1214-919-1728,http://www.kandsac.com/,"1409 S Jupiter Rd, Garland, TX 75042",4.6,570,0,0.0,True,14,7,True,The AC systems in my house were installed by K&S air conditioning which eventually merged with or became Lex Air.  K&S was great for the first few years.  Once they became Lex Air thing truly went downhill.  First they changed to where if you wanted maintenance and priority you had to get their year,tried to call,ChIJrRm3caCgToYRc9_oA1xCX58,
STANDARD,30,Dallas Plumbing & Air Conditioning,+1214-466-7557,https://www.dallasplumbing.com/dallas/?utm_source=organic&utm_medium=organic&utm_campaign=dallas&utm_id=gbp,"11055 Plano Rd, Dallas, TX 75238",4.6,1185,0,0.0,True,7,9,True,"Genuinely had a terrible experience. Called for a drain clearing special, $83 or free. When the technician came out, he did zero diagnostics on the drain and instead insisted on us doing a $500 main drain clean out and $400 for a clean out installation. When he called his supervisor for a second opi",closed,ChIJ7USGBoKgToYRD1F1GcpdsJk,
STANDARD,23,billyGO Air Conditioning & Plumbing,+1214-267-9944,https://www.billygo.com/service-area/dallas-tx/,"17430 Campbell Rd Suite 207, Dallas, TX 75252",4.7,1337,0,0.0,True,2,17,True,"Based on ChatGPT I selected BillyGO company to fix my A/C. Next day, Jordan Wiggins arrived on time, diagnosed the problem and asked me to sign a Job Order to be sent to my email address. He was impressive and professional. However, this is where the positive ends. The next day two technicians arriv",never responded,ChIJJbCE1uInTIYRp2tTMTBb-jQ,https://www.billygo.com/schedule
STANDARD,19,"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",+1469-476-4846,https://astardfw.com/air-force-one-plumbing-heating-and-air/,,4.6,231,0,0.0,True,1,16,True,"Have a 3 1/2 year old system which is under warranty, which decided to stop cooling the Friday before Memorial day weekend.  I bit the bullet and called them out Friday night, and paid the after hours fee.  I was told that a TXV, which I guess acts like a filter for the Freon needed replacing, which","after hours, called again",ChIJzwgkvfShToYRIVR8Lr_bp64,
STANDARD,17,Unlimited Air Conditioning and Heating,+1945-998-7066,https://unlimitedairandheating.com/,"822 Woodlawn Ave, Dallas, TX 75208",4.8,240,0,0.0,True,3,8,True,Do not call these guys if you need quality work for a difficult job. I had an appointment scheduled for 1pm they arrived around 2pm and left the job site before the work was completed. I personally walked around with the guys to show them and explain what I needed done. Which included fixing 2 units,closed,ChIJ88N3WYGZToYRrHFcYegd620,https://book.housecallpro.com/book/Unlimited-Air-Conditioning--Heating/6e5182c990d84e4cade06ab8c0872153?v2=true&lead_source=google&merchant_id=4f5b234b-dc7a-43bf-978a-bbd2a9acf18c&rwg_token=AFd1xnGEKnc2cvzJrN9jKzTnH_QRsIUqk8woJap-OkNUFPr6PsfJlCOUqL4fJ7yxJ1qmd9y4idv-oYfGY6UAWCRg9JaLfDFTTA%3D%3D
STANDARD,16,Chapman Air & Heat,+1214-340-4999,https://chapmanair.com/,,4.6,237,0,0.0,True,2,10,True,"Awful customer service.  Day 3 of trying to get a/c fixed.  Extremely long windows and never, not once, have they arrived in that time frame.  Was given a 10-2 window today.  It's 4:00 and still tech is not here.  ""Running behind, traffic, other call taking longer..""  I've heard it all.  I don't wan",not available,ChIJ0aWNrH-gToYR2WcsRSn7S9E,
STANDARD,9,"Jade Air, LLC",+1214-923-7904,http://jadeair.net/,"2243 Vagas St, Dallas, TX 75219",4.8,150,0,0.0,True,1,6,True,Called these people last Thursday to get a quote for an install of a part. They gave me the lowest bid by a lot so decided to go with them. The guy said the part should be in either next day or following Monday. On Friday they said the part hadn't come in so they would call us on Monday when it came,"never called back, no response",ChIJY41GYLKeToYRniOn5oxwXE8,
STANDARD,0,The Chill Brothers,+1844-512-4455,https://thechillbrothers.com/ac-repair-service-dallas/,"8131 Lyndon B Johnson Fwy suite 790, Dallas, TX 75251",4.6,451,0,0.0,True,0,0,False,,,ChIJ601XadIhTIYRvO4eGG9HB84,https://thechillbrothers.com/contact/
STANDARD,0,"Paschal Air, Plumbing & Electric",+1214-765-4817,https://gopaschal.com/service-areas/arlington-tx?utm_source=gbp-arlington,"12054 Forestgate Dr, Dallas, TX 75243",4.6,419,0,0.0,True,0,0,False,,,ChIJT1VnkpimToYRfW-sCk9MWvY,
STANDARD,0,"Lex - Air Conditioning, Heating, Plumbing, Electrical",+1972-424-2473,https://www.lexairconditioning.com/,,4.8,736,0,0.0,True,0,0,False,,,ChIJJWV7b0cYTIYR0D6whC1lCHo,https://www.lexairconditioning.com/shop/#/journey/h_v_a_c_systems
