business,stars,date,signal,category,phrase,summary,text
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",1,a year ago,True,other_comm_problem,"""Later was that night and this guy says, “I’m not trying to cheat you”""",The customer was given conflicting repair estimates by different technicians.,"Horrible horrible service! Avoid at all costs. My ac went out I called them paid the road fee. When the tech came out he said and I quite “I’m not trying to cheat you”, which he was absolutely never accused of in the first place. He continued to say that I needed to change out parts that would run m"
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",1,10 years ago,True,other_comm_problem,they wanted $89 to show up and another $150-$450 to do the leak check,The customer was quoted high costs for a service visit and leak check.,"I Had a complete Rheem air conditioning system installed in late November 2014 by Air Force One.  In mid February of this year, when the weather heated up for a few days, we had no air conditioning.  I had it checked and it was 4lbs low on refrigerant.  Once recharged, it began cooling again.  I jus"
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",1,3 years ago,False,none,none,"No communication issue, but a problem with the company's service and honesty.",Scam! My parents contacted this company to fix their air conditioner that went out during the winter storms in Texas. The receptionist was very rude. When my father reported her they sent a technician out anyway from this same company because there wasn’t any other company available through their ho
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",1,6 years ago,True,repeat_calls,"""I did so.  By the time they got to my house, it was working again.""",The customer had to call multiple times before the issue was resolved.,"We have used AF 1 for over 9 years, they installed my A/C Heat unit and serviced it these last years.  I recently had a problem with my furnace in the fact that the blower would run, but the furnace would only come on ever once in awhile.  They diagnosed a dirty filter the first time,  about 3 month"
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",1,a year ago,False,none,none,no communication issue,They bought an amazing parts store where a homeowner could go in and buy any part imaginable and not they're a service company that won't sell parts. Heartbreaking. All the old reviews are worthless.
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",1,3 years ago,False,none,none,No communication issue.,Charged us $500 for a $100 base model thermostat. Still not working correctly and after years of serving our business have now told us we need to find a commercial repair company after rescheduling an appt two times. Sadly cannot recommend them.
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",1,4 years ago,True,other_comm_problem,We never got,The customer never received the estimate from the company.,"Dont use this company in a commercial setting, (unless you have some money to burn.)  We had used this company for years in a commercial building.  They recently changed hands to a new owner.  They didnt come out to do our regularly scheduled quarterly maintenance.   Then we moved to a new commercia"
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",1,Edited 8 years ago,True,other_comm_problem,they never rescheduled with me to complete issue discovery,The company failed to follow up and reschedule to complete the issue discovery.,I thought they did a good job at first....then they never rescheduled with me to complete issue discovery so I had another company come out...they confirmed some ducting was never fixed like agreed upon and also said the ducting they aluminum taped was a poor job. I’ve attached a picture of the duct
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",1,Edited 12 years ago,False,none,none,No communication issue mentioned in the review.,STAY AWAY FROM LYING CHESTER AT AIR FORCE ONE AIR CONDITIONING AND HEATING. MY PARENTS PURCHASED A RUDD OUT SIDE CONDENSING HEAT PUMP FROM THIS LYING MAN FOUR AND A HALF YEARS AGO. THIS COMPANY IN THAT TIME WAS BACK AND FORTH TO MY PARENT'S HOME ABOUT TWO DOZEN OR SO TIMES. I FINALLY STOPPED MY PARE
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",1,Edited 7 years ago,True,other_comm_problem,I was not able to talk to a manger they kept passing me around.,The customer was unable to speak with a manager due to being passed around.,Very poor customer service.  They damaged my system and failed to come back and take care of their mistake.  I was not able to talk to a manger they kept passing me around.
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",1,12 years ago,True,ignored,he just want to go home for the day,The customer felt ignored and the representative seemed to be in a hurry to leave.,"They dont healp me at all... I waste my time with them, the Spanish guy dont help me at all, he just want to go home for the day"
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",1,6 years ago,False,none,none,No communication issue.,"Terrible Service, Not Recommended.After years of service and Prompt Payment they decided for no reason to dump me."
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",1,9 years ago,False,none,none,no communication issue,They don't do commercial property
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",2,3 years ago,False,none,none,No communication issue was mentioned in this review.,"This is a mixed review. On the one hand, ownership of Air Force One was responsive when one of their techs mishandled the AC system in my attic causing a ceiling to flood. I hired Air Force One to perform a deep cleaning and coolant check of my HVAC system in Fall 2021. The tech pointed out there wa"
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",2,7 years ago,False,none,none,no communication issue,Their prices are outrageous
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",4,Edited 4 years ago,False,none,none,No communication issue.,We requested a quote for replacing our toilets with comfort height and to replace the cut off valves for the toilet and all sinks.  We received our quote the same day after the Javier came to review what was involved.  He was on time and very knowledgeable and friendly.  We will be accepting the bid
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",4,Edited 9 years ago,False,none,none,no communication issue,"I bought a Rheem system from them  at their recommendation in 2009.  My experience with them had always been pretty good.  Although it was a bit of a struggle to get a diagnosis during the busy summer season, in the end they stepped forward and are replacing my defective evap coil (Rheem warranty re"
