SEARCH_TYPE,LEAD_SCORE,name,phone,website,address,rating,review_count,one_star_count,one_star_pct,is_claimed,missed_call_reviews,unanswered_complaints,owner_ignoring,sample_complaint,matched_keywords,place_id,contact_url
STANDARD,13,K&S Heating and Air,+1214-919-1728,http://www.kandsac.com/,"1409 S Jupiter Rd, Garland, TX 75042",4.6,570,0,0.0,True,4,1,True,Please don't use for emergencies. They came out once to diagnose told me I needed a replacement compressor and then never updated me on when that would be. After calling them 4 times and they said they would have someone reach out to me. So I had no a/c and no communication on when it would be fixed,no communication,ChIJrRm3caCgToYRc9_oA1xCX58,
STANDARD,9,"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",+1469-476-4846,https://astardfw.com/air-force-one-plumbing-heating-and-air/,,4.6,231,0,0.0,True,1,6,True,"Very professional, friendly, clean and trustworthy. Over the years when we’ve had breakdowns with heat or air, their after hours service has been a blessing. We especially like the service agreement to get our unit checked bi-annually for season changes and the additional discount for issues that ma",after hours,ChIJzwgkvfShToYRIVR8Lr_bp64,
STANDARD,9,Dallas Plumbing & Air Conditioning,+1214-466-7557,https://www.dallasplumbing.com/dallas/?utm_source=organic&utm_medium=organic&utm_campaign=dallas&utm_id=gbp,"11055 Plano Rd, Dallas, TX 75238",4.6,1185,0,0.0,True,2,3,True,"Believe the 1-star reviews--we learned the hard way. During the January 2026 freeze-storm, we had an emergency underground leak. Dallas Plumbing used the impending storm as leverage to quote an ""outrageous"" $6,200 for a 4-foot long, 2-foot deep excavation. When I balked, the technician, Travis, trie",ignored,ChIJ7USGBoKgToYRD1F1GcpdsJk,
STANDARD,9,Chapman Air & Heat,+1214-340-4999,https://chapmanair.com/,,4.6,237,0,0.0,True,2,3,True,"It pains me to write this review because we’re so grateful for the help Bobby the technician provided. However, it’s been two months since we reported our broken AC unit, and Chapman has failed to resolve it despite four reschedules.  While two delays were due to rain, the others were caused by diso",hung up,ChIJ0aWNrH-gToYR2WcsRSn7S9E,
STANDARD,6,Unlimited Air Conditioning and Heating,+1945-998-7066,https://unlimitedairandheating.com/,"822 Woodlawn Ave, Dallas, TX 75208",4.8,240,0,0.0,True,0,6,True,,,ChIJ88N3WYGZToYRrHFcYegd620,https://book.housecallpro.com/book/Unlimited-Air-Conditioning--Heating/6e5182c990d84e4cade06ab8c0872153?v2=true&lead_source=google&merchant_id=4f5b234b-dc7a-43bf-978a-bbd2a9acf18c&rwg_token=AFd1xnENrlZjqBwRpjo2W53LBNAKYvQ6X8bkQm-ha-9gMVxYegQUjkIrQp3_Vjzff1Kjh3sMeMwCQXx7rfHNUvgOtPIPrRji0Q%3D%3D
STANDARD,3,Suburban Heating & Air Conditioning,+1214-381-1127,https://www.suburbanheatandair.com/,"3918 Peachtree St, Dallas, TX 75227",4.4,23,0,0.0,True,0,3,True,,,ChIJeWFGoEGiToYRm-Gr0rm6lT4,
STANDARD,0,Dalco,+1214-381-1445,http://www.dalcoac.com/,"7310 Military Pkwy, Dallas, TX 75227",4.4,40,0,0.0,True,0,0,False,,,ChIJ4wSM6KWjToYRPmL87V_6l6w,
STANDARD,0,The Chill Brothers,+1844-512-4455,https://thechillbrothers.com/ac-repair-service-dallas/,"8131 Lyndon B Johnson Fwy suite 790, Dallas, TX 75251",4.6,451,0,0.0,True,0,0,False,,,ChIJ601XadIhTIYRvO4eGG9HB84,https://thechillbrothers.com/contact/
STANDARD,0,"Paschal Air, Plumbing & Electric",+1214-765-4817,https://gopaschal.com/service-areas/arlington-tx?utm_source=gbp-arlington,"12054 Forestgate Dr, Dallas, TX 75243",4.6,419,0,0.0,True,0,0,False,,,ChIJT1VnkpimToYRfW-sCk9MWvY,
STANDARD,0,"Lex - Air Conditioning, Heating, Plumbing, Electrical",+1972-424-2473,https://www.lexairconditioning.com/,,4.8,736,0,0.0,True,0,0,False,,,ChIJJWV7b0cYTIYR0D6whC1lCHo,https://www.lexairconditioning.com/shop/#/journey/h_v_a_c_systems
